resultado_id;medalla;deportista_id;juego_id;evento_id
86670;Silver;43956;47;331
86671;NA;43957;42;428
86672;NA;43958;42;249
86673;NA;43958;42;468
86674;NA;43958;42;466
86675;NA;43959;49;67
86676;NA;43960;42;303
86677;NA;43960;44;303
86678;NA;43961;35;169
86679;NA;43961;35;171
86680;NA;43962;45;134
86681;NA;43962;47;134
86682;NA;43963;51;110
86683;NA;43964;15;198
86684;NA;43965;41;146
86685;Silver;43965;43;219
86686;Silver;43965;43;220
86687;Gold;43965;45;219
86688;Gold;43965;45;220
86689;Gold;43965;47;219
86690;Gold;43965;47;220
86691;NA;43966;47;157
86692;NA;43967;47;80
86693;Silver;43968;51;140
86694;NA;43969;42;303
86695;NA;43970;37;21
86696;NA;43970;37;22
86697;NA;43970;37;23
86698;NA;43970;37;24
86699;NA;43970;37;25
86700;NA;43970;37;26
86701;NA;43970;37;27
86702;NA;43970;37;28
86703;NA;43971;39;21
86704;Silver;43971;39;22
86705;NA;43971;39;23
86706;NA;43971;39;24
86707;Bronze;43971;39;25
86708;NA;43971;39;26
86709;NA;43971;39;27
86710;NA;43971;39;28
86711;NA;43972;37;209
86712;NA;43973;37;333
86713;NA;43974;47;137
86714;NA;43975;39;261
86715;NA;43976;43;1
86716;NA;43976;45;1
86717;Bronze;43977;47;99
86718;Bronze;43977;49;99
86719;Silver;43977;49;639
86720;Silver;43977;49;704
86721;NA;43978;44;507
86722;Bronze;43978;44;436
86723;NA;43979;42;303
86724;NA;43980;49;21
86725;Gold;43980;49;22
86726;NA;43980;49;23
86727;NA;43980;49;25
86728;NA;43980;49;26
86729;NA;43980;49;27
86730;NA;43980;49;28
86731;Gold;43981;47;233
86732;Gold;43981;49;233
86733;NA;43981;51;233
86734;NA;43982;41;132
86735;NA;43983;44;428
86736;NA;43983;46;428
86737;Bronze;43983;48;428
86738;NA;43984;37;3
86739;NA;43985;47;207
86740;Bronze;43986;45;177
86741;Bronze;43986;47;176
86742;Gold;43986;47;614
86743;Gold;43986;49;614
86744;NA;43987;47;422
86745;NA;43987;49;422
86746;NA;43988;42;126
86747;NA;43989;19;48
86748;NA;43990;45;16
86749;NA;43991;46;267
86750;NA;43992;23;57
86751;NA;43993;19;153
86752;NA;43994;49;88
86753;NA;43995;21;297
86754;NA;43995;21;298
86755;NA;43996;49;107
86756;NA;43997;19;3
86757;NA;43998;39;304
86758;NA;43999;51;79
86759;Gold;44000;41;210
86760;NA;44000;43;210
86761;NA;44001;49;164
86762;Gold;44002;19;160
86763;NA;44003;39;335
86764;NA;44004;25;181
86765;NA;44005;47;136
86766;NA;44005;49;136
86767;NA;44005;51;136
86768;NA;44006;51;75
86769;Bronze;44007;19;168
86770;NA;44007;21;166
86771;NA;44007;23;166
86772;NA;44007;23;172
86773;NA;44008;37;232
86774;NA;44008;39;257
86775;NA;44009;15;295
86776;NA;44009;15;296
86777;NA;44010;47;66
86778;NA;44011;43;84
86779;NA;44012;31;384
86780;Bronze;44012;31;385
86781;NA;44012;35;384
86782;NA;44012;35;385
86783;NA;44013;45;496
86784;NA;44014;45;471
86785;NA;44014;47;471
86786;NA;44014;49;471
86787;Bronze;44015;19;391
86788;Bronze;44016;35;3
86789;NA;44017;29;169
86790;Bronze;44017;29;170
86791;NA;44018;37;192
86792;NA;44018;37;93
86793;NA;44019;51;291
86794;NA;44020;23;344
86795;NA;44021;19;180
86796;NA;44021;19;64
86797;NA;44022;43;330
86798;NA;44023;17;289
86799;NA;44024;9;3
86800;NA;44025;27;168
86801;NA;44026;31;245
86802;NA;44027;33;1
86803;NA;44028;43;123
86804;NA;44029;35;119
86805;NA;44030;41;179
86806;NA;44031;25;109
86807;NA;44032;51;107
86808;NA;44033;42;309
86809;NA;44033;42;311
86810;Bronze;44034;33;45
86811;Gold;44035;20;14
86812;NA;44036;20;206
86813;Bronze;44036;22;206
86814;NA;44036;24;206
86815;Gold;44037;22;250
86816;Silver;44037;22;283
86817;Bronze;44037;24;250
86818;Gold;44038;36;14
86819;Silver;44038;42;14
86820;NA;44039;49;28
86821;NA;44040;27;87
86822;NA;44040;29;237
86823;NA;44041;23;111
86824;NA;44041;25;111
86825;NA;44042;39;416
86826;NA;44043;37;105
86827;NA;44044;31;201
86828;NA;44044;33;201
86829;NA;44045;27;300
86830;Bronze;44045;29;300
86831;NA;44046;39;29
86832;NA;44046;43;29
86833;NA;44046;45;29
86834;Bronze;44047;33;120
86835;Gold;44048;30;14
86836;NA;44049;21;290
86837;NA;44050;27;107
86838;Silver;44050;27;186
86839;Bronze;44050;27;54
86840;NA;44051;49;541
86841;Bronze;44052;37;36
86842;Bronze;44052;39;36
